date,event,AAPL,MSFT,AMZN
2025-12-29,close,273.74,487.1,232.08
2025-12-29,midday,273.07,485.2,231.36
2025-12-29,open,272.7,484.86,231.94
2025-12-30,close,272.99,487.55,232.49
2025-12-30,midday,272.71,488.02,231.26
2025-12-30,open,272.81,485.9,231.2
2025-12-31,close,271.84,483.65,230.84
2025-12-31,midday,272.86,485.76,231.47
2025-12-31,open,273.06,487.84,232.91
2026-01-02,close,270.98,472.93,226.5
2026-01-02,midday,270.24,473.05,226.4
2026-01-02,open,272.25,484.29,231.23
2026-01-05,close,267.26,472.92,233.05
2026-01-05,midday,267.29,475.58,233.75
2026-01-05,open,270.72,474.24,228.84
